Provider_ID,Hospital_Name,Address,City,State,ZIP_Code,County_Name,Phone_Number,Hospital_Type,Hospital_Ownership,Emergency_Services,Hospital_Name,Provider_Number,State,Measure_Name,Number_of_Discharges,Footnote,Excess_Readmission_Ratio,Predicted_Readmission_Rate,Expected_Readmission_Rate,Number_of_Readmissions,Start_Date,End_Date
10168,"JACK HUGHSTON MEMORIAL HOSPITAL","4401 RIVER CHASE DRIVE","PHENIX CITY",AL,36867,RUSSELL,3347323000,"Acute Care Hospitals","Government - State",Yes,"JACK HUGHSTON MEMORIAL HOSPITAL",10168,1,READM-30-PN-HRRP,45,,1.033,14,13.5,8,7/1/2009,"6/30/2012"
10169,"ATMORE COMMUNITY HOSPITAL","401 MEDICAL PARK DRIVE",ATMORE,AL,36502,ESCAMBIA,2513682500,"Acute Care Hospitals","Government - Hospital District or Authority",Yes,"ATMORE COMMUNITY HOSPITAL",10169,1,READM-30-AMI-HRRP,10,1,"Not Available","Not Available","Not Available","Not Available",7/1/2009,"6/30/2012"
10169,"ATMORE COMMUNITY HOSPITAL","401 MEDICAL PARK DRIVE",ATMORE,AL,36502,ESCAMBIA,2513682500,"Acute Care Hospitals","Government - Hospital District or Authority",Yes,"ATMORE COMMUNITY HOSPITAL",10169,1,READM-30-HF-HRRP,191,,1.1036,25.4,23,54,7/1/2009,"6/30/2012"
10169,"ATMORE COMMUNITY HOSPITAL","401 MEDICAL PARK DRIVE",ATMORE,AL,36502,ESCAMBIA,2513682500,"Acute Care Hospitals","Government - Hospital District or Authority",Yes,"ATMORE COMMUNITY HOSPITAL",10169,1,READM-30-PN-HRRP,102,,1.04,18.4,17.7,21,7/1/2009,"6/30/2012"
20008,"BARTLETT REGIONAL HOSPITAL","3260 HOSPITAL DR",JUNEAU,AK,99801,JUNEAU,9077968900,"Acute Care Hospitals","Government - Local",Yes,"BARTLETT REGIONAL HOSPITAL",20008,2,READM-30-AMI-HRRP,14,1,"Not Available","Not Available","Not Available","Not Available",7/1/2009,"6/30/2012"
20008,"BARTLETT REGIONAL HOSPITAL","3260 HOSPITAL DR",JUNEAU,AK,99801,JUNEAU,9077968900,"Acute Care Hospitals","Government - Local",Yes,"BARTLETT REGIONAL HOSPITAL",20008,2,READM-30-HF-HRRP,50,,0.9282,17.8,19.1,5,7/1/2009,"6/30/2012"
20008,"BARTLETT REGIONAL HOSPITAL","3260 HOSPITAL DR",JUNEAU,AK,99801,JUNEAU,9077968900,"Acute Care Hospitals","Government - Local",Yes,"BARTLETT REGIONAL HOSPITAL",20008,2,READM-30-PN-HRRP,84,,0.9944,13.4,13.5,11,7/1/2009,"6/30/2012"
20018,"YUKON KUSKOKWIM DELTA REG HOSPITAL","PO BOX 287",BETHEL,AK,99559,BETHEL,9075436300,"Acute Care Hospitals","Government - Federal",Yes,"YUKON KUSKOKWIM DELTA REG HOSPITAL",20018,2,READM-30-AMI-HRRP,2,1,"Not Available","Not Available","Not Available","Not Available",7/1/2009,"6/30/2012"
20018,"YUKON KUSKOKWIM DELTA REG HOSPITAL","PO BOX 287",BETHEL,AK,99559,BETHEL,9075436300,"Acute Care Hospitals","Government - Federal",Yes,"YUKON KUSKOKWIM DELTA REG HOSPITAL",20018,2,READM-30-HF-HRRP,38,,1.0538,21.5,20.4,11,7/1/2009,"6/30/2012"
20018,"YUKON KUSKOKWIM DELTA REG HOSPITAL","PO BOX 287",BETHEL,AK,99559,BETHEL,9075436300,"Acute Care Hospitals","Government - Federal",Yes,"YUKON KUSKOKWIM DELTA REG HOSPITAL",20018,2,READM-30-PN-HRRP,156,,0.8906,12.9,14.5,14,7/1/2009,"6/30/2012"
