Provider_ID,Hospital_Name,Address,City,State,ZIP_Code,County_Name,Phone_Number,Hospital_Type,Hospital_Ownership,Emergency_Services,Hospital_Name,Provider_Number,State,Measure_Name,Number_of_Discharges,Footnote,Excess_Readmission_Ratio,Predicted_Readmission_Rate,Expected_Readmission_Rate,Number_of_Readmissions,Start_Date,End_Date
10023,"BAPTIST MEDICAL CENTER SOUTH","2105 EAST SOUTH BOULEVARD",MONTGOMERY,AL,36116,MONTGOMERY,3342882100,"Acute Care Hospitals","Government - Hospital District or Authority",Yes,"BAPTIST MEDICAL CENTER SOUTH",10023,AL,READM-30-AMI-HRRP,399,NULL,1.0913,17.9,16.4,76,"2010-07-01 00:00:00","2013-06-30 00:00:00"
10033,"UNIVERSITY OF ALABAMA HOSPITAL","619 SOUTH 19TH STREET",BIRMINGHAM,AL,35233,JEFFERSON,2059344011,"Acute Care Hospitals","Government - State",Yes,"UNIVERSITY OF ALABAMA HOSPITAL",10033,AL,READM-30-HF-HRRP,661,NULL,1.054,24,22.8,162,"2010-07-01 00:00:00","2013-06-30 00:00:00"
10033,"UNIVERSITY OF ALABAMA HOSPITAL","619 SOUTH 19TH STREET",BIRMINGHAM,AL,35233,JEFFERSON,2059344011,"Acute Care Hospitals","Government - State",Yes,"UNIVERSITY OF ALABAMA HOSPITAL",10033,AL,READM-30-HIP-KNEE-HRRP,254,NULL,1.2331,6.8,5.5,21,"2010-07-01 00:00:00","2013-06-30 00:00:00"
30071,"FORT DEFIANCE INDIAN HOSPITAL","PO BOX 649","FORT DEFIANCE",AZ,86504,APACHE,9287298000,"Acute Care Hospitals","Government - Federal",Yes,"FORT DEFIANCE INDIAN HOSPITAL",30071,AZ,READM-30-COPD-HRRP,"Not Available",1,"Not Available","Not Available","Not Available","Not Available","2010-07-01 00:00:00","2013-06-30 00:00:00"
30074,"SELLS INDIAN HEALTH SERVICE HOSPITAL","PO BOX 548",SELLS,AZ,85634,PIMA,5203837200,"Acute Care Hospitals","Government - Federal",No,"SELLS INDIAN HEALTH SERVICE HOSPITAL",30074,AZ,READM-30-COPD-HRRP,0,7,"Not Available","Not Available","Not Available","Not Available","2010-07-01 00:00:00","2013-06-30 00:00:00"
30084,"CHINLE COMPREHENSIVE HEALTH CARE FACILITY","US HWY 191, HOSPITAL ROAD",CHINLE,AZ,86503,APACHE,9286747001,"Acute Care Hospitals","Government - Federal",No,"CHINLE COMPREHENSIVE HEALTH CARE FACILITY",30084,AZ,READM-30-COPD-HRRP,"Not Available",1,"Not Available","Not Available","Not Available","Not Available","2010-07-01 00:00:00","2013-06-30 00:00:00"
50090,"SONOMA VALLEY HOSPITAL","347 ANDRIEUX ST",SONOMA,CA,95476,SONOMA,7079355000,"Acute Care Hospitals","Government - Hospital District or Authority",Yes,"SONOMA VALLEY HOSPITAL",50090,CA,READM-30-AMI-HRRP,"Not Available",1,"Not Available","Not Available","Not Available","Not Available","2010-07-01 00:00:00","2013-06-30 00:00:00"
50090,"SONOMA VALLEY HOSPITAL","347 ANDRIEUX ST",SONOMA,CA,95476,SONOMA,7079355000,"Acute Care Hospitals","Government - Hospital District or Authority",Yes,"SONOMA VALLEY HOSPITAL",50090,CA,READM-30-PN-HRRP,"Not Available",NULL,0.9359,14.4,15.4,"Too Few to Report","2010-07-01 00:00:00","2013-06-30 00:00:00"
40015,"MENA REGIONAL HEALTH SYSTEM","311 NORTH MORROW STREET",MENA,AR,71953,POLK,4793946100,"Acute Care Hospitals","Government - Local",Yes,"MENA REGIONAL HEALTH SYSTEM",40015,AR,READM-30-HIP-KNEE-HRRP,"Not Available",5,"Not Available","Not Available","Not Available","Not Available","2010-07-01 00:00:00","2013-06-30 00:00:00"
40069,"GREAT RIVER MEDICAL CENTER","1520 N DIVISION STREET",BLYTHEVILLE,AR,72315,MISSISSIPPI,8708387300,"Acute Care Hospitals","Government - Local",Yes,"GREAT RIVER MEDICAL CENTER",40069,AR,READM-30-PN-HRRP,138,NULL,1.1441,18.7,16.4,34,"2010-07-01 00:00:00","2013-06-30 00:00:00"
50014,"SUTTER AMADOR HOSPITAL","200 MISSION BLVD",JACKSON,CA,95642,AMADOR,2092237500,"Acute Care Hospitals","Government - Local",Yes,"SUTTER AMADOR HOSPITAL",50014,CA,READM-30-HIP-KNEE-HRRP,"Not Available",NULL,1.0529,6.3,5.9,"Too Few to Report","2010-07-01 00:00:00","2013-06-30 00:00:00"
50026,"GROSSMONT HOSPITAL","5555 GROSSMONT CENTER DRIVE BOX 58","LA MESA",CA,91942,"SAN DIEGO",6194650711,"Acute Care Hospitals","Government - Hospital District or Authority",Yes,"GROSSMONT HOSPITAL",50026,CA,READM-30-HF-HRRP,785,NULL,0.9603,21.3,22.2,165,"2010-07-01 00:00:00","2013-06-30 00:00:00"
50045,"EL CENTRO REGIONAL MEDICAL CENTER","1415 ROSS AVENUE","EL CENTRO",CA,92243,IMPERIAL,7603397100,"Acute Care Hospitals","Government - Local",Yes,"EL CENTRO REGIONAL MEDICAL CENTER",50045,CA,READM-30-COPD-HRRP,163,NULL,0.9997,19.6,19.7,32,"2010-07-01 00:00:00","2013-06-30 00:00:00"
10039,"HUNTSVILLE HOSPITAL","101 SIVLEY RD",HUNTSVILLE,AL,35801,MADISON,2562651000,"Acute Care Hospitals","Government - Hospital District or Authority",Yes,"HUNTSVILLE HOSPITAL",10039,AL,READM-30-AMI-HRRP,1203,NULL,0.9892,15.2,15.3,182,"2010-07-01 00:00:00","2013-06-30 00:00:00"
10039,"HUNTSVILLE HOSPITAL","101 SIVLEY RD",HUNTSVILLE,AL,35801,MADISON,2562651000,"Acute Care Hospitals","Government - Hospital District or Authority",Yes,"HUNTSVILLE HOSPITAL",10039,AL,READM-30-PN-HRRP,984,NULL,0.9265,16.6,17.9,159,"2010-07-01 00:00:00","2013-06-30 00:00:00"
10051,"GREENE COUNTY HOSPITAL","509 WILSON AVENUE",EUTAW,AL,35462,GREENE,2053723388,"Acute Care Hospitals","Government - Local",No,"GREENE COUNTY HOSPITAL",10051,AL,READM-30-AMI-HRRP,0,7,"Not Available","Not Available","Not Available","Not Available","2010-07-01 00:00:00","2013-06-30 00:00:00"
10051,"GREENE COUNTY HOSPITAL","509 WILSON AVENUE",EUTAW,AL,35462,GREENE,2053723388,"Acute Care Hospitals","Government - Local",No,"GREENE COUNTY HOSPITAL",10051,AL,READM-30-COPD-HRRP,96,NULL,0.9794,17.1,17.5,15,"2010-07-01 00:00:00","2013-06-30 00:00:00"
10059,"LAWRENCE MEDICAL CENTER","202 HOSPITAL STREET",MOULTON,AL,35650,LAWRENCE,2569742200,"Acute Care Hospitals","Government - Hospital District or Authority",Yes,"LAWRENCE MEDICAL CENTER",10059,AL,READM-30-HIP-KNEE-HRRP,"Not Available",5,"Not Available","Not Available","Not Available","Not Available","2010-07-01 00:00:00","2013-06-30 00:00:00"
10061,"HIGHLANDS MEDICAL CENTER","380 WOODS COVE ROAD",SCOTTSBORO,AL,35768,JACKSON,2562594444,"Acute Care Hospitals","Government - Hospital District or Authority",Yes,"HIGHLANDS MEDICAL CENTER",10061,AL,READM-30-PN-HRRP,369,NULL,1.0333,16.8,16.3,64,"2010-07-01 00:00:00","2013-06-30 00:00:00"
10073,"CLAY COUNTY HOSPITAL","83825 HIGHWAY 9    P O BOX 1270",ASHLAND,AL,36251,CLAY,2563542131,"Acute Care Hospitals","Government - Hospital District or Authority",Yes,"CLAY COUNTY HOSPITAL",10073,AL,READM-30-HIP-KNEE-HRRP,"Not Available",5,"Not Available","Not Available","Not Available","Not Available","2010-07-01 00:00:00","2013-06-30 00:00:00"
10078,"NORTHEAST ALABAMA REGIONAL MED CENTER","400 EAST 10TH STREET",ANNISTON,AL,36207,CALHOUN,2562355121,"Acute Care Hospitals","Government - Local",Yes,"NORTHEAST ALABAMA REGIONAL MED CENTER",10078,AL,READM-30-HF-HRRP,651,NULL,1.0007,24,23.9,156,"2010-07-01 00:00:00","2013-06-30 00:00:00"
10085,"DECATUR MORGAN HOSPITAL-DECATUR CAMPUS","1201 7TH STREET SE",DECATUR,AL,35601,MORGAN,2563412000,"Acute Care Hospitals","Government - Hospital District or Authority",Yes,"DECATUR MORGAN HOSPITAL-DECATUR CAMPUS",10085,AL,READM-30-COPD-HRRP,409,NULL,0.9595,18.8,19.6,74,"2010-07-01 00:00:00","2013-06-30 00:00:00"
10091,"GROVE HILL MEMORIAL HOSPITAL","295 JACKSON HWY S","GROVE HILL",AL,36451,CLARKE,2512753191,"Acute Care Hospitals","Government - Hospital District or Authority",Yes,"GROVE HILL MEMORIAL HOSPITAL",10091,AL,READM-30-HIP-KNEE-HRRP,"Not Available",5,"Not Available","Not Available","Not Available","Not Available","2010-07-01 00:00:00","2013-06-30 00:00:00"
10092,"D C H REGIONAL MEDICAL CENTER","809 UNIVERSITY BOULEVARD EAST",TUSCALOOSA,AL,35401,TUSCALOOSA,2057597111,"Acute Care Hospitals","Government - Hospital District or Authority",Yes,"D C H REGIONAL MEDICAL CENTER",10092,AL,READM-30-HF-HRRP,1082,NULL,1.0028,22.4,22.3,242,"2010-07-01 00:00:00","2013-06-30 00:00:00"
