Provider_Number,FY_2014_Readmissions ,Number_of_Pneumonia_Cases,Excess_Readmission_Ratio_Pneumonia,No_of_Heart_Failure_Cases,Excess_Readmission_Ratio_Heart_Failure,No_Acute_Myocardial_Infarction_Cases,Acute_Myocardial_Infarction
010001,1.0000,368,0.968954,901,0.912972,747,0.980807
010005,1.0000,331,0.937659,248,0.945339,18,0.000000
010006,1.0000,793,0.942541,652,0.824785,310,0.927480
010007,0.9944,220,1.043892,115,1.068507,5,0.000000
010008,1.0000,57,0.981442,51,0.989199,4,0.000000
010009,0.9981,88,1.025793,109,1.007290,9,0.000000
010010,0.9972,291,1.054462,150,0.950906,10,0.000000
010011,0.9999,484,0.973534,388,0.903865,239,1.002744
010012,0.9969,240,0.955323,148,1.076317,85,1.035684
010016,0.9981,331,0.934693,309,1.020497,234,1.040508
010018,1.0000,0,0.000000,0,0.000000,0,0.000000
010019,0.9999,334,0.949599,305,0.908479,36,1.030298
010021,1.0000,166,0.997828,90,0.932117,17,0.000000
010022,0.9986,97,1.019402,57,1.005998,3,0.000000
010023,0.9973,193,1.048304,537,1.013574,385,1.056159
010024,0.9994,311,1.037419,537,0.980810,246,0.861595
010025,0.9989,114,0.985481,211,1.014083,53,1.023740
010027,1.0000,65,0.944919,23,0.000000,2,0.000000
010029,0.9949,264,0.890769,782,0.959307,309,1.175491
010032,0.9866,114,1.100867,60,1.037985,5,0.000000
010033,0.9975,440,1.200670,568,0.999141,273,1.117085
010034,0.9944,98,1.047101,111,1.075421,12,0.000000
010035,0.9984,456,0.987316,490,1.038959,106,0.917817
010036,0.9967,270,1.067091,188,0.949321,6,0.000000
010038,0.9985,231,1.023844,229,1.013581,48,1.017116
010039,1.0000,944,0.904497,1723,0.959744,1150,0.915388
010040,0.9953,437,0.999473,459,1.028922,210,1.171095
010043,0.9961,69,1.039713,36,0.981579,2,0.000000
010044,0.9998,182,0.945302,69,1.004864,5,0.000000
010045,0.9966,161,1.049273,113,0.932771,14,0.000000
010046,0.9903,361,1.086666,445,1.223802,121,0.985673
010047,0.9969,118,0.960130,85,1.070216,19,0.000000
010049,0.9977,187,1.048282,173,1.021303,23,0.000000
010050,0.9962,150,0.938734,64,1.093659,10,0.000000
010051,0.9907,37,1.035720,43,1.129753,0,0.000000
010052,0.9970,94,1.039263,46,1.011505,5,0.000000
010054,0.9907,250,1.118794,238,1.090327,13,0.000000
010055,0.9955,463,1.011753,592,1.039530,326,1.092960
010056,0.9975,494,1.064854,550,1.038477,278,1.042302
010058,0.9995,47,1.005036,24,0.000000,1,0.000000
010059,0.9979,148,0.962509,93,1.059043,21,0.000000
010061,0.9947,390,1.062484,146,1.026715,19,0.000000
010062,0.9974,210,1.024789,113,0.927259,8,0.000000
010065,0.9989,196,0.987853,197,0.954600,65,1.051947
010066,0.9936,80,0.946687,63,1.067820,0,0.000000
010069,0.9963,119,1.050097,117,1.017230,3,0.000000
010073,0.9960,113,0.930633,74,1.099876,17,0.000000
010078,0.9960,425,1.043767,712,0.999095,448,1.071651
010079,1.0000,237,0.911621,201,0.961300,15,0.000000
010083,0.9999,284,0.849926,341,1.002294,37,0.966104
010085,0.9999,362,1.002758,477,0.867249,45,0.927677
010086,0.9962,253,1.059914,93,0.949383,17,0.000000
010087,1.0000,23,0.000000,27,0.962057,11,0.000000
010089,1.0000,299,0.934740,245,0.900163,48,1.002179
010090,0.9991,499,0.965764,590,0.889083,210,1.045049
010091,0.9993,42,0.929024,62,1.012369,0,0.000000
010092,0.9957,830,1.063995,1072,1.037846,403,1.106521
010095,1.0000,38,0.998239,52,0.956790,4,0.000000
010097,0.9958,69,1.049005,50,1.060925,13,0.000000
010099,0.9939,167,1.063381,104,1.089900,10,0.000000
010100,0.9966,189,0.916572,365,0.922768,194,1.083216
010101,0.9999,111,0.941289,145,0.987687,25,1.012759
010102,1.0000,42,0.952275,19,0.000000,2,0.000000
010103,0.9974,345,1.029041,479,0.955020,355,1.062464
010104,0.9994,300,0.884296,385,0.858982,349,1.019527
010108,0.9886,183,1.096006,140,1.094991,19,0.000000
010109,0.9990,156,0.952834,58,1.035536,7,0.000000
010110,0.9979,25,0.972601,47,1.066769,2,0.000000
010112,0.9968,146,0.994341,144,1.091310,9,0.000000
010113,0.9967,629,1.045352,958,1.059736,253,1.063592
010114,0.9989,219,1.019453,229,0.950468,88,1.033077
010118,0.9909,233,1.051143,386,1.095646,123,1.139940
010120,0.9982,178,0.974325,122,1.033815,18,0.000000
010125,0.9992,345,1.007795,126,0.925055,9,0.000000
010126,0.9886,124,1.181968,126,1.060803,8,0.000000
010128,0.9987,62,0.898019,39,1.033265,2,0.000000
010129,0.9998,93,0.995921,47,1.007439,7,0.000000
010130,0.9908,171,1.076682,95,0.945692,5,0.000000
010131,0.9996,340,0.977626,333,0.897819,170,1.025183
010137,1.0000,7,0.000000,12,0.000000,1,0.000000
010138,1.0000,8,0.000000,14,0.000000,1,0.000000
010139,0.9996,516,0.942998,476,1.014839,275,1.002348
010144,0.9973,199,0.992308,440,0.921058,131,1.090470
010146,1.0000,122,0.994427,47,0.974301,15,0.000000
010148,0.9880,73,1.013676,166,1.203306,7,0.000000
010149,0.9988,235,0.881792,344,1.028630,47,0.969829
010150,1.0000,89,0.923214,113,0.927724,12,0.000000
010152,1.0000,54,0.953432,54,1.001043,5,0.000000
010157,0.9996,163,0.963927,79,1.012824,2,0.000000
010158,0.9944,226,1.041020,132,1.108356,28,1.045362
010164,0.9978,268,1.036638,202,0.969275,28,1.042046
010168,0.9998,45,1.033041,31,0.957390,3,0.000000
010169,0.9892,102,1.040038,191,1.103620,10,0.000000
020001,1.0000,279,0.866396,443,0.863559,328,0.904675
020006,0.9999,212,0.996408,147,0.986291,62,1.003626
020008,1.0000,84,0.994400,50,0.928150,14,0.000000
020012,1.0000,113,0.941242,104,0.941182,66,0.928261
020017,0.9999,67,0.974470,80,1.011239,96,0.926029
020018,0.9973,156,0.890604,38,1.053825,2,0.000000
020024,0.9991,110,0.888438,76,1.037792,15,0.000000
020026,0.9955,172,1.091404,93,1.056736,31,1.085781
020027,1.0000,36,0.986367,18,0.000000,1,0.000000
030001,0.9991,39,0.978602,32,1.057690,10,0.000000
030002,0.9997,193,1.000556,413,0.804697,230,1.014279
030006,0.9992,473,1.031148,512,0.962381,416,1.004641
030007,1.0000,213,0.961122,166,0.927805,120,0.928589
030010,1.0000,220,0.971805,221,0.781622,168,0.980013
030011,0.9990,416,1.039136,367,0.873683,180,0.935937
030012,1.0000,432,0.997856,259,0.983830,319,0.866999
030013,0.9955,972,1.098805,587,0.919879,543,0.870020
030014,1.0000,175,0.983282,289,0.970320,89,0.930199
030016,0.9950,298,1.103034,164,1.052432,52,1.022477
030022,1.0000,26,0.999761,22,0.000000,9,0.000000
030023,1.0000,263,0.853780,213,0.954045,179,0.939450
030024,1.0000,166,0.979328,223,0.951045,159,0.962734
030030,0.9984,94,1.030429,190,1.042228,148,0.997742
030033,1.0000,84,0.950859,97,0.948034,13,0.000000
030036,0.9964,394,1.096310,364,0.922766,255,1.034460
030037,0.9999,48,0.962541,72,0.970638,47,1.005370
030038,0.9999,385,0.981718,461,1.003277,180,0.861007
030043,0.9948,251,1.036477,231,1.087201,97,0.953470
030055,0.9992,460,1.018716,362,0.959657,163,0.862947
030061,0.9986,620,0.897439,825,0.857985,513,1.044826
030062,1.0000,157,0.931926,84,0.915043,47,0.987415
030064,0.9960,326,0.980283,323,1.056469,245,1.112344
030065,0.9955,346,1.096606,400,1.086319,188,1.051882
030067,0.9921,132,1.078358,64,0.919370,41,1.026232
030068,1.0000,169,1.000047,53,0.992300,10,0.000000
030069,1.0000,251,0.973940,324,0.955348,226,0.983691
030071,1.0000,191,0.978425,30,1.001183,3,0.000000
030073,0.9986,198,0.963261,63,1.050868,4,0.000000
030074,1.0000,11,0.000000,0,0.000000,0,0.000000
030077,1.0000,2,0.000000,0,0.000000,0,0.000000
030078,1.0000,38,0.991487,5,0.000000,0,0.000000
030083,0.9990,134,0.992107,84,1.048125,47,0.962666
030084,0.9969,170,0.982834,48,1.087585,9,0.000000
030085,0.9994,500,0.942767,331,0.854744,174,1.031074
030087,0.9998,568,1.011244,555,0.988530,295,0.858466
030088,0.9963,672,1.005433,491,1.186728,32,1.003907
030089,0.9931,390,1.118180,491,1.067063,181,1.138452
030092,1.0000,207,0.901644,220,0.989878,128,0.982048
030093,0.9986,637,1.038857,599,0.961702,365,1.011163
030094,0.9997,208,1.013213,162,0.980035,72,0.945219
030100,0.9941,90,0.944851,268,0.937110,263,1.053748
030101,0.9942,211,1.108304,369,1.088831,157,0.976584
030103,1.0000,534,0.963078,483,0.997597,236,0.983138
030105,0.9970,29,1.037469,898,0.994447,486,1.041461
030107,1.0000,0,0.000000,0,0.000000,0,0.000000
030108,1.0000,0,0.000000,0,0.000000,0,0.000000
030110,0.9982,170,0.968991,145,0.969141,117,1.042136
030111,1.0000,65,0.986017,51,0.978075,64,0.960877
030112,1.0000,0,0.000000,0,0.000000,0,0.000000
030113,1.0000,79,0.912757,16,0.000000,1,0.000000
030114,0.9988,208,1.042367,157,0.997332,113,0.936024
030115,0.9948,269,1.046008,211,1.033082,95,1.138719
030117,0.9981,111,1.067284,137,1.011471,56,0.938811
030118,1.0000,191,0.964028,102,0.928313,18,0.000000
030119,1.0000,315,0.835612,270,0.970313,103,0.942929
030120,0.9984,116,0.966437,66,1.038019,2,0.000000
030121,0.9963,294,1.053540,273,1.067100,156,0.981429
030122,0.9994,155,0.941682,162,1.031326,22,0.000000
030123,1.0000,139,0.988083,107,0.932206,14,0.000000
030126,0.9935,84,1.014395,143,0.979059,87,1.112515
030130,0.9993,32,1.016499,15,0.000000,0,0.000000
030131,1.0000,0,0.000000,0,0.000000,0,0.000000
030132,1.0000,2,0.000000,3,0.000000,0,0.000000
040001,0.9917,183,1.080761,91,1.091129,8,0.000000
040002,0.9920,190,1.109795,84,0.971291,33,1.004183
040004,1.0000,454,0.912544,550,0.927308,306,0.912903
040007,0.9991,426,0.979083,718,1.037690,163,0.962497
040010,0.9968,301,1.034457,352,0.882609,215,1.067902
040011,0.9871,107,1.217969,121,1.157512,37,1.080203
040014,0.9854,812,1.233588,697,1.111683,242,0.995860
040015,1.0000,153,0.933997,90,0.961604,6,0.000000
040016,0.9972,384,1.084543,230,1.060753,119,1.121925
040017,0.9977,723,1.004417,200,1.041979,35,1.084785
040018,0.9932,143,1.109448,72,1.024893,10,0.000000
040019,0.9968,85,1.020711,70,1.054614,11,0.000000
