Provider_Number,Provider_Number,Readm_rate
10001,10001,"1.016814051"
10005,10005,"0.951875861"
10006,10006,"0.903099104"
10007,10007,"0"
10008,10008,"0"
10016,10016,"1.060057569"
10021,10021,"0"
10022,10022,"0"
10023,10023,"1.091318554"
10032,10032,"0"
10035,10035,"0.936986266"
10036,10036,"0"
10038,10038,"1.054177899"
10039,10039,"0.989228516"
10040,10040,"1.002298958"
10045,10045,"0"
10046,10046,"1.100342771"
10049,10049,"0"
10052,10052,"0"
10055,10055,"1.022929641"
10058,10058,"0"
10059,10059,"0"
10061,10061,"0"
10062,10062,"0"
10069,10069,"0"
10073,10073,"0"
10079,10079,"0"
10083,10083,"1.00455863"
10086,10086,"0"
10089,10089,"0.985780945"
10090,10090,"0.964869234"
10095,10095,"0"
10097,10097,"0"
10100,10100,"1.059621493"
10101,10101,"0"
10108,10108,"0"
10109,10109,"0"
10120,10120,"0"
10125,10125,"0"
10126,10126,"0"
10128,10128,"0"
10129,10129,"0"
10131,10131,"1.134519722"
10144,10144,"1.10301291"
10148,10148,"0"
10149,10149,"0.971936616"
10157,10157,"0"
10158,10158,"1.072397166"
10164,10164,"0.998567371"
10168,10168,"0"
10169,10169,"0"
20001,20001,"0.894039371"
20008,20008,"0"
20017,20017,"0.955426987"
20024,20024,"0"
20026,20026,"1.031802933"
30006,30006,"0.960857075"
30007,30007,"0.966841087"
30013,30013,"1.013930693"
30023,30023,"0.929130121"
30033,30033,"0"
30036,30036,"1.059743846"
30055,30055,"0.892634163"
30061,30061,"1.036360993"
30062,30062,"0.936183506"
30065,30065,"0.976007677"
30069,30069,"0.920732486"
30071,30071,"0"
30078,30078,"0"
30084,30084,"0"
30088,30088,"0.984385674"
30089,30089,"1.133483222"
30094,30094,"0.928552614"
30103,30103,"0.914277912"
30105,30105,"0.948148901"
30114,30114,"0.967529855"
30115,30115,"1.06601556"
30117,30117,"0.972743305"
30119,30119,"0.94887622"
30120,30120,"0"
30122,30122,"0"
40001,40001,"0"
40002,40002,"0"
40010,40010,"0.978329637"
40011,40011,"1.060169474"
40015,40015,"0"
40017,40017,"1.002580437"
40027,40027,"1.095816339"
40029,40029,"0.902681642"
40039,40039,"1.143380845"
40047,40047,"0"
40050,40050,"0"
40051,40051,"0"
40055,40055,"1.054787449"
40071,40071,"0.962537103"
40074,40074,"0"
40078,40078,"1.034404541"
40084,40084,"1.045546755"
40085,40085,"0"
40118,40118,"0.982079875"
40119,40119,"1.144536477"
40134,40134,"0.951664145"
50009,50009,"0.982936093"
50014,50014,"0"
50017,50017,"0.975326648"
50018,50018,"0"
50022,50022,"1.058692328"
50028,50028,"0"
50030,50030,"1.079058231"
50036,50036,"1.082635742"
50038,50038,"0.99636779"
50039,50039,"1.074442632"
50045,50045,"1.007555385"
50054,50054,"0.973059048"
50060,50060,"1.065454801"
50063,50063,"1.103039813"
50089,50089,"0"
50090,50090,"0"
50091,50091,"0"
50093,50093,"0.93892765"
50100,50100,"1.015732447"
50101,50101,"0.973625455"
50102,50102,"0"
50103,50103,"1.060431487"
50104,50104,"0.997060885"
50107,50107,"0.938823498"
50108,50108,"0.91359813"
50110,50110,"0"
50113,50113,"0"
50115,50115,"0.934921401"
50116,50116,"0.950714193"
50118,50118,"1.058748887"
50122,50122,"0.992695223"
50124,50124,"0.991634831"
50125,50125,"1.056393229"
50126,50126,"0.99976725"
50128,50128,"0.938333595"
50131,50131,"0"
50132,50132,"1.012898485"
50133,50133,"1.050816799"
50136,50136,"0.973911793"
50145,50145,"0.866761799"
50152,50152,"0"
50153,50153,"1.027565927"
50158,50158,"0.976932587"
50159,50159,"0"
50167,50167,"0"
50174,50174,"0.822489833"
50192,50192,"0"
50194,50194,"0.991725178"
50195,50195,"1.152018828"
50197,50197,"0.913648702"
50204,50204,"1.053534673"
50211,50211,"1.020797352"
50222,50222,"0.962347469"
50231,50231,"0.923500583"
50232,50232,"0.890043303"
50239,50239,"1.090220472"
50242,50242,"0.888074448"
50243,50243,"1.117954863"
50245,50245,"0.985242798"
50248,50248,"0"
50261,50261,"1.108246973"
50262,50262,"1.135735241"
50272,50272,"0.970325535"
50276,50276,"0"
50278,50278,"1.016917828"
50279,50279,"0"
50280,50280,"0.86178928"
50281,50281,"0.987026908"
50289,50289,"1.068620663"
50290,50290,"0.927282908"
50296,50296,"0"
50298,50298,"0"
50309,50309,"0.794294903"
50313,50313,"0"
50324,50324,"0.894385821"
50327,50327,"0.915438593"
50329,50329,"1.020896259"
50334,50334,"0.939589044"
50335,50335,"1.005232772"
50336,50336,"0.970060419"
50350,50350,"1.136853696"
50351,50351,"1.022406514"
50352,50352,"0"
50357,50357,"0"
50359,50359,"1.053550445"
50360,50360,"0.883715663"
50367,50367,"1.00733268"
50378,50378,"0"
50390,50390,"0.890284825"
50396,50396,"0.912785217"
50397,50397,"0"
50407,50407,"0"
50414,50414,"1.009454328"
50417,50417,"0.954489576"
50423,50423,"0"
50424,50424,"0.942242303"
50426,50426,"0.941348778"
50441,50441,"0.912929874"
50455,50455,"1.05194474"
50468,50468,"1.024008848"
50481,50481,"1.006837933"
50485,50485,"1.133621856"
50488,50488,"1.059288074"
50492,50492,"0.969587384"
50498,50498,"0.94513223"
50502,50502,"1.088366738"
50506,50506,"1.031715624"
50516,50516,"1.004608389"
50517,50517,"0"
50523,50523,"1.040926319"
50526,50526,"1.001705602"
50528,50528,"0"
50537,50537,"0"
50551,50551,"1.061290567"
50552,50552,"0"
50568,50568,"1.004272932"
50573,50573,"0.927729652"
50580,50580,"0.99768615"
